text,label
"Configuration change for signaling PLC: update firmware to v2.3, rollback plan included.",Engineering
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours. ഡോക്യുമെന്റിൽ സംক্রান্তമായ വിശദീകരണം. Ref: ENG-003 | Date: 2025-09-20. [attachment: page_4.pdf],Engineering
Regulatory directive: Commissioner of Metro Rail Safety issued new reporting guidelines.,Legal
Legal opinion regarding land acquisition adjacent to depot expansion.  [attachment: page_4.pdf],Legal
Regulatory directive: Commissioner of Metro Rail Safety issued new reporting guidelines.,Legal
Safety circular: emergency brake test procedure updated. Non-compliance will be escalated.,Safety
Legal opinion regarding land acquisition adjacent to depot expansion. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക. Ref: LEG-060 | Date: 2025-09-25.,Legal
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours.  Ref: ENG-073 | Date: 2025-09-08.,Engineering
Purchase order confirmation and tax invoice attached for spare parts procurement.  Ref: FIN-016 | Date: 2025-09-28.,Finance
Contract clause clarification: warranty period extended to 24 months for supplied components.,Legal
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape.,Safety
Legal opinion regarding land acquisition adjacent to depot expansion.  Ref: LEG-116 | Date: 2025-09-12.,Legal
Budget reforecast Q3: increased OPEX for depot expansion by 12%.,Finance
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക. Ref: ENG-083 | Date: 2025-09-26.,Engineering
Staff rotation notice: Technician A transferred to Depot 2. Handover checklist required.  Ref: HR-018 | Date: 2025-09-18.,HR
Budget reforecast Q3: increased OPEX for depot expansion by 12%. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക. Ref: FIN-073 | Date: 2025-09-05.,Finance
Incident report: minor electrical fire in depot C; no injuries. Root cause under investigation.,Safety
Purchase order confirmation and tax invoice attached for spare parts procurement. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക.,Finance
Contract clause clarification: warranty period extended to 24 months for supplied components.,Legal
Safety circular: emergency brake test procedure updated. Non-compliance will be escalated. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക.,Safety
Staff rotation notice: Technician A transferred to Depot 2. Handover checklist required.  Ref: HR-036 | Date: 2025-09-20.,HR
Safety circular: emergency brake test procedure updated. Non-compliance will be escalated.,Safety
Drawing: cable tray route revision for depot B. Refer drawing no. D-ENG-052.,Engineering
Regulatory directive: Commissioner of Metro Rail Safety issued new reporting guidelines. ഡോക്യുമെന്റിൽ സംক্রান্তമായ വിശദീകരണം.,Legal
Regulatory directive: Commissioner of Metro Rail Safety issued new reporting guidelines. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക.,Legal
Drawing: cable tray route revision for depot B. Refer drawing no. D-ENG-052.,Engineering
Purchase order confirmation and tax invoice attached for spare parts procurement.  Ref: FIN-063 | Date: 2025-09-03. [attachment: page_7.pdf],Finance
Safety circular: emergency brake test procedure updated. Non-compliance will be escalated. ഡോക്യുമെന്റിൽ സംক্রান্তമായ വിശദീകരണം. [attachment: page_8.pdf],Safety
Drawing: cable tray route revision for depot B. Refer drawing no. D-ENG-052.  Ref: ENG-105 | Date: 2025-09-28.,Engineering
Drawing: cable tray route revision for depot B. Refer drawing no. D-ENG-052.,Engineering
Legal opinion regarding land acquisition adjacent to depot expansion.  Ref: LEG-011 | Date: 2025-09-24. [attachment: page_5.pdf],Legal
Leave policy update: employees entitled to 18 casual leaves per year.  Ref: HR-006 | Date: 2025-09-20.,HR
Leave policy update: employees entitled to 18 casual leaves per year.,HR
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours.,Engineering
Regulatory directive: Commissioner of Metro Rail Safety issued new reporting guidelines.  Ref: LEG-076 | Date: 2025-09-23. [attachment: page_7.pdf],Legal
Regulatory directive: Commissioner of Metro Rail Safety issued new reporting guidelines.  Ref: LEG-112 | Date: 2025-09-04. [attachment: page_8.pdf],Legal
Staff rotation notice: Technician A transferred to Depot 2. Handover checklist required.,HR
Purchase order confirmation and tax invoice attached for spare parts procurement.  [attachment: page_4.pdf],Finance
"Invoice #INV-2025-091: Vendor Acme Supplies. Amount: INR 2,45,000. Payment terms: 30 days net.",Finance
Budget reforecast Q3: increased OPEX for depot expansion by 12%.  [attachment: page_4.pdf],Finance
Purchase order confirmation and tax invoice attached for spare parts procurement.  Ref: FIN-076 | Date: 2025-09-11.,Finance
"Configuration change for signaling PLC: update firmware to v2.3, rollback plan included.",Engineering
Budget reforecast Q3: increased OPEX for depot expansion by 12%.  Ref: FIN-057 | Date: 2025-09-18. [attachment: page_5.pdf],Finance
Training schedule: safety refresher for station staff on Oct 10. Attendance mandatory.  Ref: HR-090 | Date: 2025-09-13.,HR
Legal opinion regarding land acquisition adjacent to depot expansion.  Ref: LEG-057 | Date: 2025-09-20. [attachment: page_7.pdf],Legal
Contract clause clarification: warranty period extended to 24 months for supplied components. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക.,Legal
Drawing: cable tray route revision for depot B. Refer drawing no. D-ENG-052.,Engineering
Contract clause clarification: warranty period extended to 24 months for supplied components.,Legal
Contract clause clarification: warranty period extended to 24 months for supplied components. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക. Ref: LEG-110 | Date: 2025-09-12.,Legal
Drawing: cable tray route revision for depot B. Refer drawing no. D-ENG-052.  Ref: ENG-082 | Date: 2025-09-09. [attachment: page_5.pdf],Engineering
Staff rotation notice: Technician A transferred to Depot 2. Handover checklist required.  Ref: HR-077 | Date: 2025-09-15.,HR
Staff rotation notice: Technician A transferred to Depot 2. Handover checklist required. ഡോക്യുമെന്റിൽ സംক্রান্তമായ വിശദീകരണം.,HR
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours.  Ref: ENG-007 | Date: 2025-09-12.,Engineering
Safety circular: emergency brake test procedure updated. Non-compliance will be escalated. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക.,Safety
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape.,Safety
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape.  [attachment: page_3.pdf],Safety
Contract clause clarification: warranty period extended to 24 months for supplied components.  [attachment: page_5.pdf],Legal
Training schedule: safety refresher for station staff on Oct 10. Attendance mandatory.,HR
"Invoice #INV-2025-091: Vendor Acme Supplies. Amount: INR 2,45,000. Payment terms: 30 days net. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക.",Finance
Contract clause clarification: warranty period extended to 24 months for supplied components.,Legal
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape.  Ref: SAF-073 | Date: 2025-09-12.,Safety
Staff rotation notice: Technician A transferred to Depot 2. Handover checklist required.  [attachment: page_5.pdf],HR
Incident report: minor electrical fire in depot C; no injuries. Root cause under investigation. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക.,Safety
Legal opinion regarding land acquisition adjacent to depot expansion.,Legal
Incident report: minor electrical fire in depot C; no injuries. Root cause under investigation.,Safety
"Configuration change for signaling PLC: update firmware to v2.3, rollback plan included.",Engineering
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours.  Ref: ENG-040 | Date: 2025-09-08. [attachment: page_8.pdf],Engineering
Budget reforecast Q3: increased OPEX for depot expansion by 12%.,Finance
Purchase order confirmation and tax invoice attached for spare parts procurement.,Finance
Incident report: minor electrical fire in depot C; no injuries. Root cause under investigation. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക. [attachment: page_3.pdf],Safety
Purchase order confirmation and tax invoice attached for spare parts procurement.  Ref: FIN-091 | Date: 2025-09-07.,Finance
"Invoice #INV-2025-091: Vendor Acme Supplies. Amount: INR 2,45,000. Payment terms: 30 days net.  Ref: FIN-116 | Date: 2025-09-20. [attachment: page_3.pdf]",Finance
Legal opinion regarding land acquisition adjacent to depot expansion. ഡോക്യുമെന്റിൽ സംক্রান্তമായ വിശദീകരണം. Ref: LEG-067 | Date: 2025-09-14.,Legal
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours.  [attachment: page_6.pdf],Engineering
Training schedule: safety refresher for station staff on Oct 10. Attendance mandatory.,HR
Leave policy update: employees entitled to 18 casual leaves per year.  [attachment: page_5.pdf],HR
Leave policy update: employees entitled to 18 casual leaves per year.  Ref: HR-041 | Date: 2025-09-05. [attachment: page_3.pdf],HR
Purchase order confirmation and tax invoice attached for spare parts procurement. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക.,Finance
"Configuration change for signaling PLC: update firmware to v2.3, rollback plan included. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക. [attachment: page_6.pdf]",Engineering
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape.  Ref: SAF-053 | Date: 2025-09-13.,Safety
Drawing: cable tray route revision for depot B. Refer drawing no. D-ENG-052.  Ref: ENG-084 | Date: 2025-09-19. [attachment: page_1.pdf],Engineering
Drawing: cable tray route revision for depot B. Refer drawing no. D-ENG-052.  Ref: ENG-091 | Date: 2025-09-19.,Engineering
Purchase order confirmation and tax invoice attached for spare parts procurement.,Finance
Regulatory directive: Commissioner of Metro Rail Safety issued new reporting guidelines.,Legal
Staff rotation notice: Technician A transferred to Depot 2. Handover checklist required. ഡോക്യുമെന്റിൽ സംক্রান্তമായ വിശദീകരണം.,HR
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക. Ref: ENG-080 | Date: 2025-09-11. [attachment: page_2.pdf],Engineering
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape.,Safety
"Invoice #INV-2025-091: Vendor Acme Supplies. Amount: INR 2,45,000. Payment terms: 30 days net.  Ref: FIN-021 | Date: 2025-09-22.",Finance
Leave policy update: employees entitled to 18 casual leaves per year. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക. Ref: HR-042 | Date: 2025-09-25.,HR
Training schedule: safety refresher for station staff on Oct 10. Attendance mandatory.  Ref: HR-029 | Date: 2025-09-08.,HR
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക. Ref: SAF-055 | Date: 2025-09-27.,Safety
Budget reforecast Q3: increased OPEX for depot expansion by 12%.  [attachment: page_7.pdf],Finance
Incident report: minor electrical fire in depot C; no injuries. Root cause under investigation.,Safety
Regulatory directive: Commissioner of Metro Rail Safety issued new reporting guidelines. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക.,Legal
Contract clause clarification: warranty period extended to 24 months for supplied components.,Legal
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape.  Ref: SAF-012 | Date: 2025-09-22.,Safety
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape.  [attachment: page_10.pdf],Safety
Training schedule: safety refresher for station staff on Oct 10. Attendance mandatory.  Ref: HR-101 | Date: 2025-09-23.,HR
"Invoice #INV-2025-091: Vendor Acme Supplies. Amount: INR 2,45,000. Payment terms: 30 days net.  [attachment: page_1.pdf]",Finance
Contract clause clarification: warranty period extended to 24 months for supplied components.  [attachment: page_2.pdf],Legal
Safety circular: emergency brake test procedure updated. Non-compliance will be escalated.,Safety
Purchase order confirmation and tax invoice attached for spare parts procurement.,Finance
"Configuration change for signaling PLC: update firmware to v2.3, rollback plan included.  [attachment: page_4.pdf]",Engineering
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape.,Safety
Contract clause clarification: warranty period extended to 24 months for supplied components.,Legal
"Invoice #INV-2025-091: Vendor Acme Supplies. Amount: INR 2,45,000. Payment terms: 30 days net.",Finance
Budget reforecast Q3: increased OPEX for depot expansion by 12%.,Finance
Regulatory directive: Commissioner of Metro Rail Safety issued new reporting guidelines.,Legal
Training schedule: safety refresher for station staff on Oct 10. Attendance mandatory.,HR
Regulatory directive: Commissioner of Metro Rail Safety issued new reporting guidelines. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക. Ref: LEG-107 | Date: 2025-09-28. [attachment: page_8.pdf],Legal
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക. Ref: SAF-087 | Date: 2025-09-03.,Safety
Drawing: cable tray route revision for depot B. Refer drawing no. D-ENG-052.,Engineering
Regulatory directive: Commissioner of Metro Rail Safety issued new reporting guidelines. ഡോക്യുമെന്റിൽ സംক্রান্তമായ വിശദീകരണം.,Legal
Budget reforecast Q3: increased OPEX for depot expansion by 12%.  [attachment: page_10.pdf],Finance
"Invoice #INV-2025-091: Vendor Acme Supplies. Amount: INR 2,45,000. Payment terms: 30 days net.",Finance
Safety circular: emergency brake test procedure updated. Non-compliance will be escalated.  Ref: SAF-093 | Date: 2025-09-01.,Safety
Budget reforecast Q3: increased OPEX for depot expansion by 12%.  Ref: FIN-077 | Date: 2025-09-03. [attachment: page_5.pdf],Finance
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours.  Ref: ENG-076 | Date: 2025-09-24.,Engineering
Drawing: cable tray route revision for depot B. Refer drawing no. D-ENG-052.  Ref: ENG-093 | Date: 2025-09-15.,Engineering
Training schedule: safety refresher for station staff on Oct 10. Attendance mandatory.,HR
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours.  Ref: ENG-069 | Date: 2025-09-24.,Engineering
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours. ഡോക്യുമെന്റിൽ സംক্রান্তമായ വിശദീകരണം.,Engineering
Budget reforecast Q3: increased OPEX for depot expansion by 12%.  Ref: FIN-085 | Date: 2025-09-14.,Finance
Purchase order confirmation and tax invoice attached for spare parts procurement.  Ref: FIN-039 | Date: 2025-09-08. [attachment: page_5.pdf],Finance
"Configuration change for signaling PLC: update firmware to v2.3, rollback plan included.",Engineering
Legal opinion regarding land acquisition adjacent to depot expansion. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക.,Legal
"Configuration change for signaling PLC: update firmware to v2.3, rollback plan included. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക. Ref: ENG-118 | Date: 2025-09-07.",Engineering
Incident report: minor electrical fire in depot C; no injuries. Root cause under investigation. ഡോക്യുമെന്റിൽ സംক্রান্তമായ വിശദീകരണം.,Safety
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape.,Safety
Drawing: cable tray route revision for depot B. Refer drawing no. D-ENG-052.  Ref: ENG-034 | Date: 2025-09-16.,Engineering
Drawing: cable tray route revision for depot B. Refer drawing no. D-ENG-052. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക. Ref: ENG-001 | Date: 2025-09-08. [attachment: page_2.pdf],Engineering
Regulatory directive: Commissioner of Metro Rail Safety issued new reporting guidelines.,Legal
Legal opinion regarding land acquisition adjacent to depot expansion.  [attachment: page_3.pdf],Legal
Leave policy update: employees entitled to 18 casual leaves per year. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക. [attachment: page_10.pdf],HR
Training schedule: safety refresher for station staff on Oct 10. Attendance mandatory. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക.,HR
Legal opinion regarding land acquisition adjacent to depot expansion.  Ref: LEG-055 | Date: 2025-09-12.,Legal
Training schedule: safety refresher for station staff on Oct 10. Attendance mandatory.  Ref: HR-005 | Date: 2025-09-09.,HR
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours.,Engineering
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക. [attachment: page_9.pdf],Safety
Drawing: cable tray route revision for depot B. Refer drawing no. D-ENG-052.  Ref: ENG-117 | Date: 2025-09-21.,Engineering
Drawing: cable tray route revision for depot B. Refer drawing no. D-ENG-052. ഡോക്യുമെന്റിൽ സംক্রান্তമായ വിശദീകരണം. Ref: ENG-090 | Date: 2025-09-22.,Engineering
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape.  Ref: SAF-006 | Date: 2025-09-27.,Safety
Purchase order confirmation and tax invoice attached for spare parts procurement.,Finance
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours. ഡോക്യുമെന്റിൽ സംক্রান্তമായ വിശദീകരണം.,Engineering
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape.,Safety
Leave policy update: employees entitled to 18 casual leaves per year.,HR
"Invoice #INV-2025-091: Vendor Acme Supplies. Amount: INR 2,45,000. Payment terms: 30 days net. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക. Ref: FIN-025 | Date: 2025-09-19.",Finance
Leave policy update: employees entitled to 18 casual leaves per year.,HR
Leave policy update: employees entitled to 18 casual leaves per year.  [attachment: page_7.pdf],HR
Contract clause clarification: warranty period extended to 24 months for supplied components.  [attachment: page_3.pdf],Legal
Safety circular: emergency brake test procedure updated. Non-compliance will be escalated.  Ref: SAF-001 | Date: 2025-09-18.,Safety
Staff rotation notice: Technician A transferred to Depot 2. Handover checklist required.  Ref: HR-011 | Date: 2025-09-09.,HR
Staff rotation notice: Technician A transferred to Depot 2. Handover checklist required.  [attachment: page_10.pdf],HR
Regulatory directive: Commissioner of Metro Rail Safety issued new reporting guidelines.  Ref: LEG-049 | Date: 2025-09-18. [attachment: page_9.pdf],Legal
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape. ഡോക്യുമെന്റിൽ സംক্রান্তമായ വിശദീകരണം. [attachment: page_10.pdf],Safety
Purchase order confirmation and tax invoice attached for spare parts procurement.  Ref: FIN-048 | Date: 2025-09-25.,Finance
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക. Ref: ENG-055 | Date: 2025-09-06. [attachment: page_2.pdf],Engineering
Legal opinion regarding land acquisition adjacent to depot expansion. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക. Ref: LEG-014 | Date: 2025-09-13. [attachment: page_7.pdf],Legal
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours.,Engineering
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours.,Engineering
Leave policy update: employees entitled to 18 casual leaves per year.,HR
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours.  Ref: ENG-109 | Date: 2025-09-07. [attachment: page_7.pdf],Engineering
Leave policy update: employees entitled to 18 casual leaves per year.  Ref: HR-033 | Date: 2025-09-28.,HR
Legal opinion regarding land acquisition adjacent to depot expansion.,Legal
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക.,Safety
Incident report: minor electrical fire in depot C; no injuries. Root cause under investigation.,Safety
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape.,Safety
Safety circular: emergency brake test procedure updated. Non-compliance will be escalated.  [attachment: page_4.pdf],Safety
Incident report: minor electrical fire in depot C; no injuries. Root cause under investigation.  Ref: SAF-103 | Date: 2025-09-19.,Safety
Incident report: minor electrical fire in depot C; no injuries. Root cause under investigation.  Ref: SAF-035 | Date: 2025-09-17. [attachment: page_10.pdf],Safety
Staff rotation notice: Technician A transferred to Depot 2. Handover checklist required. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക. Ref: HR-026 | Date: 2025-09-03. [attachment: page_7.pdf],HR
Legal opinion regarding land acquisition adjacent to depot expansion.  Ref: LEG-001 | Date: 2025-09-11. [attachment: page_10.pdf],Legal
Legal opinion regarding land acquisition adjacent to depot expansion.,Legal
Drawing: cable tray route revision for depot B. Refer drawing no. D-ENG-052.  Ref: ENG-070 | Date: 2025-09-03.,Engineering
Budget reforecast Q3: increased OPEX for depot expansion by 12%. ഡോക്യുമെന്റിൽ സംক্রান্তമായ വിശദീകരണം.,Finance
Safety circular: emergency brake test procedure updated. Non-compliance will be escalated.,Safety
Training schedule: safety refresher for station staff on Oct 10. Attendance mandatory. ഡോക്യുമെന്റിൽ സംক্রান্তമായ വിശദീകരണം. Ref: HR-039 | Date: 2025-09-21. [attachment: page_9.pdf],HR
Safety circular: emergency brake test procedure updated. Non-compliance will be escalated.,Safety
Leave policy update: employees entitled to 18 casual leaves per year.  Ref: HR-111 | Date: 2025-09-15.,HR
Contract clause clarification: warranty period extended to 24 months for supplied components.,Legal
Purchase order confirmation and tax invoice attached for spare parts procurement. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക. [attachment: page_1.pdf],Finance
Purchase order confirmation and tax invoice attached for spare parts procurement. ഡോക്യുമെന്റിൽ സംক্রান্তമായ വിശദീകരണം. [attachment: page_1.pdf],Finance
Safety circular: emergency brake test procedure updated. Non-compliance will be escalated. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക.,Safety
Incident report: minor electrical fire in depot C; no injuries. Root cause under investigation.  [attachment: page_3.pdf],Safety
Purchase order confirmation and tax invoice attached for spare parts procurement.  Ref: FIN-066 | Date: 2025-09-18.,Finance
Purchase order confirmation and tax invoice attached for spare parts procurement.  [attachment: page_7.pdf],Finance
Training schedule: safety refresher for station staff on Oct 10. Attendance mandatory. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക. [attachment: page_3.pdf],HR
Staff rotation notice: Technician A transferred to Depot 2. Handover checklist required.,HR
Leave policy update: employees entitled to 18 casual leaves per year. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക. [attachment: page_1.pdf],HR
Training schedule: safety refresher for station staff on Oct 10. Attendance mandatory.,HR
Safety circular: emergency brake test procedure updated. Non-compliance will be escalated.,Safety
Contract clause clarification: warranty period extended to 24 months for supplied components.,Legal
Contract clause clarification: warranty period extended to 24 months for supplied components.,Legal
Legal opinion regarding land acquisition adjacent to depot expansion. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക. Ref: LEG-071 | Date: 2025-09-11. [attachment: page_2.pdf],Legal
Drawing: cable tray route revision for depot B. Refer drawing no. D-ENG-052.  [attachment: page_8.pdf],Engineering
Budget reforecast Q3: increased OPEX for depot expansion by 12%.  [attachment: page_8.pdf],Finance
Budget reforecast Q3: increased OPEX for depot expansion by 12%.  Ref: FIN-022 | Date: 2025-09-24.,Finance
Staff rotation notice: Technician A transferred to Depot 2. Handover checklist required.  Ref: HR-099 | Date: 2025-09-04.,HR
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours.,Engineering
Contract clause clarification: warranty period extended to 24 months for supplied components.  Ref: LEG-042 | Date: 2025-09-04. [attachment: page_1.pdf],Legal
Drawing: cable tray route revision for depot B. Refer drawing no. D-ENG-052.,Engineering
Purchase order confirmation and tax invoice attached for spare parts procurement.,Finance
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക. Ref: SAF-092 | Date: 2025-09-18.,Safety
Drawing: cable tray route revision for depot B. Refer drawing no. D-ENG-052. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക. Ref: ENG-057 | Date: 2025-09-03.,Engineering
Leave policy update: employees entitled to 18 casual leaves per year.  [attachment: page_7.pdf],HR
Training schedule: safety refresher for station staff on Oct 10. Attendance mandatory.,HR
Incident report: minor electrical fire in depot C; no injuries. Root cause under investigation.,Safety
Leave policy update: employees entitled to 18 casual leaves per year.,HR
Training schedule: safety refresher for station staff on Oct 10. Attendance mandatory.  Ref: HR-071 | Date: 2025-09-22.,HR
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours. ഡോക്യുമെന്റിൽ സംক্রান্তമായ വിശദീകരണം. [attachment: page_8.pdf],Engineering
Leave policy update: employees entitled to 18 casual leaves per year.,HR
"Configuration change for signaling PLC: update firmware to v2.3, rollback plan included. സുരക്ഷാ നിർദേശങ്ങൾ പാലിക്കുക. Ref: ENG-026 | Date: 2025-09-01.",Engineering
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape.  Ref: SAF-083 | Date: 2025-09-17.,Safety
"Invoice #INV-2025-091: Vendor Acme Supplies. Amount: INR 2,45,000. Payment terms: 30 days net.",Finance
Legal opinion regarding land acquisition adjacent to depot expansion.  Ref: LEG-004 | Date: 2025-09-26.,Legal
Legal opinion regarding land acquisition adjacent to depot expansion.  Ref: LEG-061 | Date: 2025-09-01.,Legal
Track inspection report: wear on rail joint at Km 12. Action required: schedule maintenance within 48 hours. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക.,Engineering
Safety circular: emergency brake test procedure updated. Non-compliance will be escalated. അറ്റച്ച് ചെയ്ത ഇൻവോയ്സ് പരിശോധിക്കുക. [attachment: page_4.pdf],Safety
Training schedule: safety refresher for station staff on Oct 10. Attendance mandatory. ഡോക്യുമെന്റിൽ സംক্রান্তമായ വിശദീകരണം.,HR
Hazard alert: slippery platform edge during monsoon — apply anti-slip tape.  Ref: SAF-049 | Date: 2025-09-16. [attachment: page_4.pdf],Safety
